time_idx,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
198075,-0.965728759765625,-0.147430419921875,-0.0929412841796875,-0.9824491739273072,0.4662998020648956,-0.7342721223831177,34.68325805664062,98.0863800048828,-22.65385437011719
198076,-0.965728759765625,-0.147430419921875,-0.0929412841796875,-0.9824491739273072,0.4662998020648956,-0.7342721223831177,34.68325805664062,98.0863800048828,-22.65385437011719
198077,-0.55072021484375,0.5044403076171875,-0.1126861572265625,-1.081567764282227,-0.3445629775524139,-0.8050408363342285,34.354736328125,98.03639221191406,-21.9188232421875
198078,-0.32177734375,0.631439208984375,-0.03289794921875,-1.346007466316223,-0.50015789270401,-0.7882298827171326,34.04489135742188,97.9224853515625,-21.44685363769531
198079,-0.32177734375,0.631439208984375,-0.03289794921875,-1.346007466316223,-0.50015789270401,-0.7882298827171326,34.04489135742188,97.9224853515625,-21.44685363769531
198080,-0.0944976806640625,0.73834228515625,-0.0767059326171875,-1.376046061515808,-0.8020477294921875,-0.6450127959251404,33.63853454589844,97.70571899414062,-20.9805908203125
198081,0.096954345703125,0.8332977294921875,0.0688323974609375,-1.135909795761108,-1.229493856430054,-0.1633532345294952,32.87419128417969,97.3259735107422,-19.72268676757812
198082,0.1435394287109375,0.758636474609375,0.0944976806640625,-1.026941537857056,-1.186637401580811,-0.072562351822853,32.60829162597656,97.20034790039062,-18.93951416015625
198083,0.1435394287109375,0.758636474609375,0.0944976806640625,-1.026941537857056,-1.186637401580811,-0.072562351822853,32.60829162597656,97.20034790039062,-18.93951416015625
198084,0.1947174072265625,0.6286468505859375,0.0617218017578125,-1.064761638641357,-1.227007269859314,-0.0443373695015907,32.45639038085938,97.00405883789062,-18.06462097167969
198085,0.2505035400390625,0.323944091796875,0.0044403076171875,-1.424408435821533,-1.431378245353699,0.0065095648169517,32.40150451660156,96.5602569580078,-16.54368591308594
198086,0.2729949951171875,0.163116455078125,-0.156707763671875,-1.442030310630798,-1.377383470535278,0.0901991352438926,32.35365295410156,96.4468994140625,-15.60809326171875
198087,0.308929443359375,0.000335693359375,-0.463348388671875,-0.936063289642334,-1.334188342094421,0.4123593270778656,32.22906494140625,96.53407287597656,-14.57096862792969
198088,0.308929443359375,0.000335693359375,-0.463348388671875,-0.936063289642334,-1.334188342094421,0.4123593270778656,32.22906494140625,96.53407287597656,-14.57096862792969
198089,0.4235687255859375,-0.169952392578125,-0.777008056640625,-0.9894644618034364,-0.7853153347969055,0.4263979196548462,32.33134460449219,96.68971252441406,-12.392578125
198090,0.3675384521484375,-0.14727783203125,-0.6267242431640625,-0.9999828934669496,-0.5369398593902588,0.40310138463974,32.45059204101562,96.88082885742188,-11.37788391113281
198091,0.3675384521484375,-0.14727783203125,-0.6267242431640625,-0.9999828934669496,-0.5369398593902588,0.40310138463974,32.45059204101562,96.88082885742188,-11.37788391113281
