time_idx,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT)
241459,0.5361175537109375,3.935089111328125,-0.726776123046875,0.1692353636026382,-1.45079505443573,0.0525984950363636,38.69169616699219,98.24192810058594,-2.599929809570312
241460,0.5361175537109375,3.935089111328125,-0.726776123046875,0.1692353636026382,-1.45079505443573,0.0525984950363636,38.69169616699219,98.24192810058594,-2.599929809570312
241461,0.8425750732421875,1.065872192382812,-1.535018920898438,1.361259579658508,0.5777267217636108,1.702159404754639,38.97483825683594,98.01678466796876,-0.944854736328125
241462,0.686859130859375,1.251190185546875,-0.6397552490234375,1.335050106048584,-0.4295340478420258,1.858548998832703,39.36732482910156,97.892822265625,-0.83978271484375
241463,0.5917510986328125,1.266815185546875,-0.1464385986328125,1.140795350074768,-0.9930978417396544,1.737380743026733,40.08341979980469,97.83143615722656,-1.17169189453125
241464,0.5917510986328125,1.266815185546875,-0.1464385986328125,1.140795350074768,-0.9930978417396544,1.737380743026733,40.08341979980469,97.83143615722656,-1.17169189453125
241465,0.416046142578125,1.034332275390625,-0.13409423828125,0.6343700289726257,-1.391043066978455,1.115260004997253,42.28996276855469,97.73861694335938,-1.708877563476562
241466,0.2914276123046875,0.813323974609375,-0.122406005859375,0.5035222768783569,-1.244677305221558,0.8851255774497986,43.29510498046875,97.8289031982422,-2.10498046875
241467,0.22265625,0.6139678955078125,-0.164093017578125,0.6636773347854614,-0.6566004753112793,0.8665617108345032,44.11068725585938,97.8862762451172,-2.312820434570312
241468,0.22265625,0.6139678955078125,-0.164093017578125,0.6636773347854614,-0.6566004753112793,0.8665617108345032,44.11068725585938,97.8862762451172,-2.312820434570312
241469,0.1453857421875,0.3186492919921875,-0.353485107421875,0.8076723217964172,-0.5619655847549438,0.8932961225509644,45.26121520996094,98.2666015625,-2.638015747070312
241470,0.0494842529296875,0.2960205078125,-0.2273712158203125,0.8884278535842896,-0.3182565271854401,0.7243262529373169,45.68008422851562,98.423583984375,-2.835662841796875
241471,-0.033416748046875,0.3105621337890625,-0.0507659912109375,0.8884278535842896,-0.3182565271854401,0.7243262529373169,46.17276000976562,98.56488037109376,-3.105880737304688
241472,-0.033416748046875,0.3105621337890625,-0.0507659912109375,0.8884278535842896,-0.3182565271854401,0.7243262529373169,46.17276000976562,98.56488037109376,-3.105880737304688
241473,-0.0984344482421875,0.243865966796875,0.1302642822265625,0.7392405271530151,-0.0037300232797861,0.3915984034538269,47.06938171386719,98.75367736816406,-3.72686767578125
